Id,LegacyKey,SiteName,SiteRole,District,MarkerX,MarkerY,MarkerZ,SpawnAX,SpawnAY,SpawnAZ,SpawnAHeading,SpawnOX,SpawnOY,SpawnOZ,SpawnOHeading,MaxObjectLine,MaxObjectRow,ObjectModel,GateX,GateY,GateZ,BarrierModel,WorkerX,WorkerY,WorkerZ,Input,OptionalInput,Output,Company,StartingResources,Density,EmptyingRate,OwnershipTier,IndustryProductionRateCasual,IndustryLicencePriceCasual,IndustryPriceCasual,IndustryProductionRateStandard,IndustryLicencePriceStandard,IndustryPriceStandard,IndustryProductionRateHardcore,IndustryLicencePriceHardcore,IndustryPriceHardcore,IndustryOwnerCut,InputCapacityCasual,InputCapacityStandard,InputCapacityHardcore,OutputCapacityCasual,OutputCapacityStandard,OutputCapacityHardcore,ProductionRatioCasual,ProductionRatioStandard,ProductionRatioHardcore,LicenceCasual,LicenceStandard,LicenceHardcore,Enabled,PermitCasual,PermitStandard,PermitHardcore,FreeRefuel,GroundLevel
126,LiquidFertilizerFactory,Liquid Fertilizer,ProcessingPlant,PaletoBay,409.77,6454.44,28.81,391.66,6492.98,28.31,270,405.29,6460.2,28.81,100,3,1,1370563384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Water,Chemicals",Omega,LiquidFertilizer,,0.3,,,Expansion,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,TRUE
127,WaterSupply,Tataviam Mountains Water Supply,RawProducer,EastLosSantos,1904.16,563.27,175.82,1940.41,601.38,176.12,330,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Omega,Water,,0.3,,,Expansion,40,8000,200000,32,13000,450000,24,18000,800000,0.5,180,120,80,150,100,70,1,1,1,8000,13000,18000,TRUE,TRUE,TRUE,TRUE,,
300,HarborTerminal,Port Terminal,Warehouse,Port,1243.65,-3135.5,5.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"TV,Computer,Alcohol,Clothes,ProcessedFood",,,,0,,,Local,,,200000,,,450000,,,800000,,1800,1200,800,1800,1200,800,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
301,Warehouse2,San Chianski Grain Silo,Warehouse,Grapeseed,2893.55,4381.94,50.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Crops,,,,0,,,Regional,,,200000,,,450000,,,800000,,1800,1200,800,1800,1200,800,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
302,Warehouse3,The Secure Unit Storage,Warehouse,EastLosSantos,917.03,-1256.81,25.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plastic,Processors,Fabric,MechanicalParts,Clothes,Food,Alcohol,Chemicals,Paper,TV,Computer",,,,0,,,Regional,,,200000,,,450000,,,800000,,1800,1200,800,1800,1200,800,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
303,Warehouse6,Oil Storage Tanks,Warehouse,EastLosSantos,494.06,-2163.26,5.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Oil,Fuel,Omega",,,,0,,,Regional,,,200000,,,450000,,,800000,,1800,1200,800,1800,1200,800,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
304,Warehouse7,Ore Storage Unit,Warehouse,Port,597.33,-2798.48,5.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Ore,Gravel,Coal",,,,0,,,Regional,,,200000,,,450000,,,800000,,1800,1200,800,1800,1200,800,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
305,Warehouse5,Cold Storage Unit,Warehouse,EastLosSantos,876.44,-1669.82,30.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Meat,,,,0,,,Regional,,,200000,,,450000,,,800000,,1800,1200,800,1800,1200,800,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
306,Warehouse6,Grand Senora Container Storage,Warehouse,GrandSenora,166.82,2761.53,42.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"TV,Computer,Alcohol,Clothes,ProcessedFood",,,,1,,,Regional,,,200000,,,450000,,,800000,,1800,1200,800,1800,1200,800,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
400,MPConstruction,Mirror Park Residential Area,ConstructionSiteSink,EastLosSantos,1372.42,-751.49,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Cement,Lumber",,,,0.3,Low,0.8,Starter,,,0,,,0,,,0,,100,100,100,,,,,,,,,,TRUE,,,,,
401,VWConstruction,Vinewood Construction Site,ConstructionSiteSink,WestLosSantos,-1112.62,-964,2.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Lumber,Beam,Gravel,Bricks",,,,0.3,Medium,2.25,Expansion,,,200000,,,450000,,,800000,,100,100,100,,,,,,,,,,TRUE,,,,,
402,LSConstruction,Little Seoul Construction Site,ConstructionSiteSink,WestLosSantos,-485,-970,23.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Beam,Cement,Concrete,Bricks",,,,0.3,High,4,Expansion,,,200000,,,450000,,,800000,,100,100,100,,,,,,,,,,TRUE,,,,,
403,PHConstruction,Pillbox Hill Construction Site,ConstructionSiteSink,Downtown,-174.56,-1029,27.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Beam,Cement,Concrete,Bricks",,,,0.3,High,4,Expansion,,,200000,,,450000,,,800000,,100,100,100,,,,,,,,,,TRUE,,,,,
404,RWConstruction,Redwood Construction Site,ConstructionSiteSink,GrandSenora,1097.22,2081.14,53.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Beam,Cement,Concrete,Bricks",,,,0.3,Medium,2.25,Expansion,,,200000,,,450000,,,800000,,100,100,100,,,,,,,,,,TRUE,,,,,
500,Store1,Davis Carson Store,StoreSink,SouthLosSantos,103,-1818,26.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"TV,Computer,Alcohol,Clothes,ProcessedFood",,,,0.3,High,4,Regional,,,200000,,,450000,,,800000,,100,100,100,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
501,Store2,Burton Mall,StoreSink,Vinewood,-250,-250,36.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"TV,Computer,Alcohol,Clothes,ProcessedFood",,,,0.3,Low,0.8,Local,,,200000,,,450000,,,800000,,10,10,10,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
502,Store3,Sandy Shores Carson Store,StoreSink,GrandSenora,2673,3520,52.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Alcohol,ProcessedFood",,,,0.3,VeryLow,0.35,Local,,,200000,,,450000,,,800000,,5,5,5,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
503,Store4,Grapeseed Store,StoreSink,Grapeseed,1718,4805,41.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Alcohol,ProcessedFood",,,,0.3,Low,0.8,Local,,,200000,,,450000,,,800000,,10,10,10,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
504,Store5,Paleto Store,StoreSink,PaletoBay,-361,6065,31.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Alcohol,ProcessedFood",,,,0.3,Medium,2.25,Regional,,,200000,,,450000,,,800000,,60,60,60,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
505,Store6,Paleto Supermarket,StoreSink,PaletoBay,-86.8,6488.84,31.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"TV,Alcohol,Clothes,ProcessedFood",,,,0.3,High,4,Core,,,200000,,,450000,,,800000,,100,100,100,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
700,Petrol Station 01,Davis Avenue,FuelSink,SouthLosSantos,-66,-1759,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,LTD,0.3,Medium,2.25,Regional,,,200000,,,450000,,,800000,,60,60,60,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
701,Petrol Station 02,El Rancho Blvd,FuelSink,EastLosSantos,1209,-1402,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,RON,0.3,High,4,Regional,,,200000,,,450000,,,800000,,100,100,100,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
702,Petrol Station 03,Popular St,FuelSink,EastLosSantos,831,-1028,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,RON,0.3,High,4,Local,,,200000,,,450000,,,800000,,100,100,100,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
703,Petrol Station 04,Capital Blvd,FuelSink,SouthLosSantos,254,-1263,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,XERO,0.3,Medium,2.25,Local,,,200000,,,450000,,,800000,,60,60,60,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
704,Petrol Station 05,Calais Ave,FuelSink,WestLosSantos,-522,-1204,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,XERO,0.3,Medium,2.25,Regional,,,200000,,,450000,,,800000,,60,60,60,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
705,Petrol Station 06,Ginger St,FuelSink,WestLosSantos,-713,-935,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,LTD,0.3,High,4,Local,,,200000,,,450000,,,800000,,100,100,100,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
706,Petrol Station 07,US Route 15,FuelSink,EastLosSantos,2591,361,108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,RON,0.3,Medium,2.25,Local,,,200000,,,450000,,,800000,,60,60,60,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
707,Petrol Station 08,Mirror Park Blvd,FuelSink,EastLosSantos,1178,-319,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,LTD,0.3,Low,0.8,Regional,,,200000,,,450000,,,800000,,10,10,10,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
708,Petrol Station 09,Clinton Ave,FuelSink,Downtown,636,269,103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,Globe Oil,0.3,High,4,Regional,,,200000,,,450000,,,800000,,100,100,100,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
709,Petrol Station 10,Morningwood,FuelSink,WestLosSantos,-1432,-272,46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,RON,0.3,High,4,Regional,,,200000,,,450000,,,800000,,100,100,100,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
710,Petrol Station 11,Interstate 2,FuelSink,WestLosSantos,-2082,-319,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,XERO,0.3,High,4,Local,,,200000,,,450000,,,800000,,100,100,100,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
711,Petrol Station 12,Rockford Dr,FuelSink,NorthLosSantos,-1792,814,138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,LTD,0.3,Low,0.8,Local,,,200000,,,450000,,,800000,,10,10,10,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
712,Petrol Station 13,US Route 68 - Zancudo,FuelSink,NorthLosSantos,-2556,2346,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,RON,0.3,Medium,2.25,Local,,,200000,,,450000,,,800000,,60,60,60,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
